Date,ITC Limited,Bharti Airtel,Tata Motors,DLF Limited,Yes Bank
23-12-2019,242,441,177,229,51
30-12-2019,238,452,177,233,48
06-01-2020,238,446,191,227,47
13-01-2020,238,451,195,244,43
20-01-2020,240,490,198,262,40
27-01-2020,237,512,186,262,42
03-02-2020,215,487,164,230,38
10-02-2020,214,530,173,235,40
17-02-2020,208,555,170,228,40
24-02-2020,207,532,154,215,36
02-03-2020,200,524,133,206,35
09-03-2020,179,501,109,188,17
16-03-2020,158,464,86,155,27
23-03-2020,158,409,70,126,41
30-03-2020,156,436,69,134,28
06-04-2020,178,416,65,132,24
13-04-2020,184,482,76,148,25
20-04-2020,190,498,77,138,26
27-04-2020,180,489,76,131,27
04-05-2020,182,493,87,141,28
11-05-2020,160,523,81,133,27
18-05-2020,166,547,84,138,29
25-05-2020,186,582,83,135,27
01-06-2020,201,549,89,153,28
08-06-2020,203,577,114,162,30
15-06-2020,194,546,105,153,30
22-06-2020,186,565,102,164,28
29-06-2020,202,549,101,154,27
06-07-2020,200,577,105,153,26
13-07-2020,196,564,109,149,22
20-07-2020,195,560,106,142,20
27-07-2020,200,548,104,139,12
03-08-2020,194,544,103,140,12
10-08-2020,196,554,120,142,14
17-08-2020,198,521,124,144,15
24-08-2020,197,508,122,162,15
31-08-2020,199,509,144,175,15
07-09-2020,187,515,150,156,14
14-09-2020,186,487,147,156,15
21-09-2020,180,487,148,162,14
28-09-2020,171,438,129,153,14
05-10-2020,171,424,137,157,13
12-10-2020,170,420,140,158,13
19-10-2020,167,396,130,164,13
26-10-2020,172,426,138,173,14
02-11-2020,167,427,134,160,12
09-11-2020,174,448,141,170,12
16-11-2020,187,467,146,185,15
23-11-2020,192,478,170,184,15
30-11-2020,194,455,180,187,15
07-12-2020,198,489,184,211,16
14-12-2020,218,498,181,218,19
21-12-2020,214,498,176,229,19
28-12-2020,209,511,180,231,18
04-01-2021,214,507,192,240,18
11-01-2021,204,532,200,249,18
18-01-2021,218,592,262,278,18
25-01-2021,212,568,297,274,17
01-02-2021,204,549,270,258,16
08-02-2021,238,578,319,316,17
15-02-2021,218,581,330,314,16
22-02-2021,212,571,312,300,16
01-03-2021,205,548,330,306,16
08-03-2021,210,521,332,321,17
15-03-2021,206,518,320,311,16
22-03-2021,223,523,306,289,15
29-03-2021,211,513,296,279,14
05-04-2021,218,511,307,289,16
12-04-2021,210,528,308,271,15
19-04-2021,205,522,295,244,14
26-04-2021,206,513,297,243,14
03-05-2021,201,520,289,244,13
10-05-2021,207,561,304,260,13
17-05-2021,217,554,315,253,13
24-05-2021,210,521,315,271,13
31-05-2021,215,516,319,286,13
07-06-2021,210,524,340,299,14
14-06-2021,208,531,350,314,14
21-06-2021,203,525,331,288,14
28-06-2021,206,527,341,294,14
05-07-2021,203,518,347,286,14
12-07-2021,202,529,311,303,13
19-07-2021,207,529,309,326,13
26-07-2021,214,535,295,334,14
02-08-2021,206,556,299,340,13
09-08-2021,215,599,301,345,13
16-08-2021,211,627,306,332,12
23-08-2021,210,607,287,314,11
30-08-2021,206,585,290,312,11
06-09-2021,211,652,298,345,11
13-09-2021,213,679,299,334,11
20-09-2021,231,712,305,329,13
27-09-2021,240,731,323,414,13
04-10-2021,236,675,337,417,13
11-10-2021,232,693,390,418,13
18-10-2021,261,700,507,429,13
25-10-2021,234,693,494,415,14
01-11-2021,224,690,486,404,13
08-11-2021,230,707,494,435,13
15-11-2021,234,740,506,430,13
22-11-2021,238,740,512,417,13
29-11-2021,222,752,457,376,12
06-12-2021,222,718,480,386,13
13-12-2021,238,715,499,421,15
20-12-2021,216,659,460,384,13
27-12-2021,218,675,466,378,13
03-01-2022,218,688,494,392,14
10-01-2022,220,705,493,405,14
17-01-2022,223,720,515,417,14
24-01-2022,217,690,500,394,14
31-01-2022,218,728,505,382,14
07-02-2022,234,718,503,400,14
14-02-2022,226,704,487,370,14
21-02-2022,220,708,490,356,14
28-02-2022,213,681,445,342,13
07-03-2022,222,640,402,318,13
14-03-2022,236,688,419,354,13
21-03-2022,246,722,436,365,13
28-03-2022,254,715,432,369,13
04-04-2022,253,758,444,387,13
11-04-2022,269,757,457,393,16
18-04-2022,268,737,430,386,14
25-04-2022,259,730,433,375,14
02-05-2022,258,734,438,368,14
09-05-2022,266,706,407,329,13
16-05-2022,260,686,412,321,13
23-05-2022,280,682,422,335,14
30-05-2022,270,687,437,329,13
06-06-2022,272,682,428,330,13
13-06-2022,266,660,415,315,13
20-06-2022,263,645,391,305,12
27-06-2022,267,675,418,322,13
04-07-2022,286,670,412,323,13
11-07-2022,293,675,438,337,13
18-07-2022,295,657,444,357,13
25-07-2022,299,680,456,359,15
01-08-2022,304,678,452,385,16
08-08-2022,311,708,466,366,17
15-08-2022,309,710,478,373,15
22-08-2022,311,732,468,372,16
29-08-2022,310,718,451,366,16
05-09-2022,325,735,460,396,16
12-09-2022,332,767,448,397,18
19-09-2022,329,774,432,391,17
26-09-2022,345,770,416,366,16
03-10-2022,333,803,406,357,16
10-10-2022,330,785,403,359,16
17-10-2022,331,761,394,357,16
24-10-2022,349,800,406,370,16
31-10-2022,348,823,414,386,16
07-11-2022,355,817,428,388,17
14-11-2022,356,818,424,402,17
21-11-2022,339,837,426,399,17
28-11-2022,340,840,435,396,17
05-12-2022,338,851,436,412,18
12-12-2022,341,833,412,402,20
19-12-2022,337,823,422,394,22
26-12-2022,326,805,380,359,18
02-01-2023,331,806,392,376,21
09-01-2023,337,803,386,373,21
16-01-2023,330,766,414,378,20
23-01-2023,336,768,407,371,18
30-01-2023,347,772,446,357,18
06-02-2023,382,790,444,354,16
13-02-2023,373,771,446,362,17
20-02-2023,385,781,442,366,16
27-02-2023,385,753,428,347,16
06-03-2023,386,767,431,361,17
13-03-2023,389,777,436,351,14
20-03-2023,373,755,416,375,15
27-03-2023,378,763,416,355,15
03-04-2023,384,755,423,358,15
10-04-2023,387,769,452,384,15
17-04-2023,393,789,471,416,15
24-04-2023,410,765,471,407,16
01-05-2023,426,799,485,426,16
08-05-2023,431,790,480,429,16
15-05-2023,420,793,524,443,16
22-05-2023,422,801,525,472,16
29-05-2023,445,829,525,478,16
05-06-2023,445,838,539,492,16
12-06-2023,440,835,567,487,17
19-06-2023,455,840,571,497,16
26-06-2023,447,857,560,477,16
03-07-2023,452,880,600,493,16
10-07-2023,470,867,624,503,17
17-07-2023,474,886,627,494,18
24-07-2023,493,885,628,503,18
31-07-2023,469,894,640,517,17
07-08-2023,454,885,619,492,17
14-08-2023,449,870,612,479,17
21-08-2023,442,856,617,474,17
28-08-2023,445,874,605,478,17
04-09-2023,443,866,616,504,17
11-09-2023,446,888,635,542,18
18-09-2023,448,929,636,531,18
25-09-2023,443,912,624,517,18
02-10-2023,444,926,630,531,17
09-10-2023,441,918,621,547,17
16-10-2023,448,958,669,566,17
23-10-2023,438,942,664,552,17
30-10-2023,435,915,644,537,16
06-11-2023,434,934,653,598,17
13-11-2023,438,938,653,611,18
20-11-2023,440,949,682,632,21
27-11-2023,438,973,674,629,20
04-12-2023,455,1036,716,639,20
11-12-2023,452,996,718,654,20
18-12-2023,455,995,733,702,22
25-12-2023,455,990,725,716,21
01-01-2024,464,1032,785,727,22
08-01-2024,475,1050,798,760,24
15-01-2024,470,1078,820,802,25
22-01-2024,472,1125,824,786,25
29-01-2024,456,1158,812,761,25
05-02-2024,442,1154,934,785,24
12-02-2024,418,1123,916,833,32
19-02-2024,405,1121,943,864,28
26-02-2024,411,1118,937,898,26
04-03-2024,412,1132,993,925,25
11-03-2024,417,1186,1035,928,24
18-03-2024,419,1225,946,826,24
25-03-2024,429,1236,980,866,24
